Papel;Segmento;Cotacao;FFO Yield;Dividend Yield;P/VP;Valor de Mercado;Liquidez;Qtd de imoveis;Preco do m2;Aluguel por m2;Cap Rate;Vacancia Media
FZDB11;Outros;123,99;3,30%;3,05%;0,73;446.364.000;774;16;3,25;0,13;3,88%;0,00%
GALG11;Hibrido;9,08;4,86%;2,73%;1,01;1.142.860.000;0;4;319,02;35,12;11,01%;0,00%
GAME11;Outros;8,88;6,58%;11,71%;0,93;192.675.000;147.197;0;0;0;0,00%;0,00%
GARE11;Hibrido;9,09;4,85%;8,29%;1,01;1.144.120.000;6.384.370;4;319,37;35,12;11,00%;0,00%
GCFF11;Titulos e Val. Mob.;69,3;12,04%;0,00%;0,89;24.981.100;0;0;0;0;0,00%;0,00%
GCOI11;Hibrido;98,99;-1,73%;0,00%;1,04;11.185.900;337;5;5.811,22;0;0,00%;0,00%
GCRA11;Titulos e Val. Mob.;48,18;19,78%;18,85%;0,56;84.356.700;260.155;0;0;0;0,00%;0,00%
GCRI11;Titulos e Val. Mob.;68,93;11,50%;14,60%;0,77;100.215.000;174.632;0;0;0;0,00%;0,00%
GESE11B;Outros;1.520,00;11,39%;151,00%;1,36;79.040.000;0;1;0;725,37;0,00%;0,00%
GGRC11;Logistica;10,18;8,60%;9,17%;0,9;1.077.070.000;1.608.310;13;1.292,44;144,15;11,15%;0,00%
GLOG11;Logistica;60,42;17,38%;10,01%;0,56;45.315.000;26.986;1;629,7;137,02;21,76%;0,00%
GRLV11;Logistica;145,5;5,72%;0,00%;24,38;156.199.000;0;1;0;183;0,00%;3,69%
GRWA11;Titulos e Val. Mob.;8,75;9,66%;15,12%;0,87;24.136.800;21.980;0;0;0;0,00%;0,00%
GSFI11;Shoppings;7,49;0,00%;0,00%;0,55;690.732.000;241.652;0;0;0;0,00%;0,00%
GTLG11;Logistica;63,99;13,75%;0,00%;0,7;459.000.000;0;5;2.714,27;318,12;11,72%;1,69%
GTWR11;Lajes Corporativas;73,96;13,13%;12,04%;0,73;887.520.000;1.011.440;3;9.792,59;1.387,45;14,17%;0,00%
GURB11;Hibrido;108;9,33%;1,28%;0,93;122.597.000;0;2;21.696,70;2.145,74;9,89%;9,70%
GWIR11;Shoppings;175,99;2,80%;0,00%;0,74;67.231.200;0;0;0;0;4,21%;0,00%
GZIT11;Hibrido;46,29;-12,83%;14,16%;0,49;1.011.030.000;1.128.680;5;7.204,02;994,13;13,80%;3,00%
HAAA11;Lajes Corporativas;33,06;10,35%;6,44%;0,44;114.222.000;817;2;8.594,31;1.251,68;14,56%;19,81%
HABT11;Titulos e Val. Mob.;79,17;14,87%;14,26%;0,83;643.397.000;1.263.000;0;0;0;0,00%;0,00%
HBCR11;Outros;136;6,73%;11,98%;1,05;217.600.000;7.769.590;5;1.545,48;276,63;17,90%;0,00%
HBRH11;Hibrido;90,8;5,19%;1,53%;0,81;256.345.000;0;5;8.367,66;612,19;7,32%;2,83%
HBTT11;Titulos e Val. Mob.;1.055,00;6,53%;0,00%;1,19;190.126.000;0;0;0;0;0,00%;0,00%
HCHG11;Outros;70;11,67%;11,84%;0,73;84.000.000;65.804;0;0;0;0,00%;0,00%
HCRI11;Hospital;270;12,11%;11,36%;0,84;54.000.000;40.172;1;9.706,55;1.252,99;12,91%;0,00%
HCTR11;Titulos e Val. Mob.;28,03;14,64%;14,68%;0,25;619.020.000;915.428;0;0;0;0,00%;0,00%
HDEL11;Logistica;116;14,05%;12,09%;1,41;97.440.000;16;0;0;0;0,00%;0,00%
HFOF11;Titulos e Val. Mob.;62,68;11,04%;11,28%;0,83;1.444.420.000;1.662.500;0;0;0;0,00%;0,00%
